,0,1,2,3
0,0.872,0.071,0.03161400556564331,2
1,0.704,0.0,0.2387845516204834,2
2,1.0,0.0,0.037808239459991455,0
3,1.8555000000000001,0.302,1.9760079979896545,1
4,1.6705,0.147,1.9862280488014221,1
5,1.3485,0.195,1.852957546710968,1
6,1.1531,0.08,0.0015853643417358398,1
7,1.6124,0.185,1.7473604083061218,1
8,1.4404,0.121,1.8664473295211792,1
9,1.4404,0.146,1.9903649687767029,1
10,1.5574,0.146,1.9693242907524109,1
11,1.8176,0.311,1.9988542795181274,1
12,1.4939,0.088,1.944304347038269,1
13,1.6124,0.147,1.7438995242118835,1
14,1.6124,0.172,1.882227599620819,1
15,1.4215,0.194,1.8150323629379272,1
16,1.4939,0.087,0.1218065619468689,1
17,1.296,0.061,0.010362803936004639,1
18,1.0,0.0,0.0006049871444702148,1
19,1.5267,0.167,0.21414631605148315,1
20,1.0,0.0,1.9197131395339966,1
21,1.4939,0.086,1.9514151215553284,1
22,1.5574,0.123,0.02596837282180786,1
23,1.0,0.0,0.13789856433868408,1
24,1.6124,0.2,1.7214282155036926,1
25,1.0,0.0,0.08530551195144653,1
26,1.6124,0.179,1.9773304462432861,1
27,1.7269,0.244,0.3470813035964966,1
28,1.7269,0.244,0.2731322646141052,1
29,1.7269,0.253,0.12562495470046997,1
30,1.4767000000000001,0.124,1.9378967881202698,1
31,1.4404,0.088,1.6338580250740051,1
32,1.0,0.0,0.23140037059783936,1
33,1.4939,0.174,1.964476764202118,1
34,1.5718999999999999,0.207,1.92389714717865,1
35,1.4404,0.086,0.034782469272613525,1
36,1.3182,0.113,0.09783130884170532,1
37,1.0,0.0,1.9279304146766663,1
38,1.2732,0.13,1.809106171131134,1
39,1.0,0.0,0.007387816905975342,1
40,1.4404,0.104,0.048685669898986816,1
41,1.0,0.0,1.6772400736808777,1
42,1.2732,0.06,1.9963913559913635,1
43,1.2732,0.091,0.0033194422721862793,1
44,1.0,0.0,1.98210608959198,1
45,1.5994000000000002,0.457,1.9942487478256226,1
46,1.7351,0.437,1.9992274045944214,1
47,1.4939,0.103,1.9844719767570496,1
